date,stripe,ads,difference
2026-08-28,2794.885003091829,2794.88500309183,-1.3642420526593924e-12
2026-08-29,3052.340458257306,3052.340458257306,0.0
2026-08-30,1910.2601542565983,1910.2601542565985,-2.2737367544323206e-13
2026-08-31,2078.7599999999998,2078.76,-4.547473508864641e-13
2026-09-01,2185.9057115995056,2185.9057115995056,0.0
2026-09-02,2016.6737210008423,2016.6737210008419,4.547473508864641e-13
2026-09-03,3592.5,3592.5,0.0
2026-09-04,2862.2203952057907,2862.220395205791,-4.547473508864641e-13
2026-09-05,2891.7215720237673,2891.7215720237677,-4.547473508864641e-13
2026-09-06,2617.362980216144,2617.362980216145,-9.094947017729282e-13
2026-09-07,1842.572432591139,1842.5724325911392,-2.2737367544323206e-13
2026-09-08,2468.1802609520723,2468.1802609520723,0.0
2026-09-09,2322.5482430225843,2322.5482430225848,-4.547473508864641e-13
2026-09-10,4028.805470291529,4028.8054702915306,-1.3642420526593924e-12
