# 仓库加工来源与依赖

依据：2026-05-21 字典导出的显式上游。缺省项目的二段表名保持原样；未声明的依赖不推断。以下边仅表示历史登记关系，是否仍在调度需核对。当前口径入口见各表正文。

| 下游 | 原登记上游 | 加工任务 |
| [aidata2025.dm.dm_user_profile_collart_df](../tables/aidata2025.dm.dm_user_profile_collart_df.md) | aidata2025.dwd.dwd_oper_user_collart_di | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdm%2Fdaily%2Fh_dm_user_collart_df.sqlx?project=aidata2025) |
| [aidata2025.dwd.dwd_apple_user_subscribtion_di](../tables/aidata2025.dwd.dwd_apple_user_subscribtion_di.md) | pubdata2025.ods.ods_apple_sales_1d,aidata2025.dwd.dwd_oper_user_event_di,aidata2025.dwd.dwd_oper_user_basic_di,pubdata2025.ods.ods_woolong_subscription_1d,aidata2025.dwd.dwd_oper_user_transaction_di | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdwd%2Fdaily%2Fh_dwd_apple_user_subscribtion_di.sqlx?project=aidata2025) |
| [aidata2025.dwd.dwd_cdct_delivery_cost_di](../tables/aidata2025.dwd.dwd_cdct_delivery_cost_di.md) | pubdata2025.dws.dws_cdct_cost_google_1h,aidata2025.dws.dws_oper_tiktok_ad_1d,aidata2025.dws.dws_oper_fb_delivery_1d,aidata2025.dws.dws_oper_asa_keyword_collart_1d | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdwd%2Fdaily%2Fh_dwd_cdct_delivery_cost_di.sqlx?project=aidata2025) |
| [aidata2025.dwd.dwd_id_convert_di](../tables/aidata2025.dwd.dwd_id_convert_di.md) | aidata2025.dwd.dwd_oper_user_event_di | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdwd%2Fdaily%2Fh_dwd_id_convert_di.sqlx?project=aidata2025) |
| [aidata2025.dwd.dwd_oper_delivery_adjust_user_di](../tables/aidata2025.dwd.dwd_oper_delivery_adjust_user_di.md) | fx-editor.analytics_263446298.daily_adjust_report_*， ods.ods_adjust_collart_android_1d， | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdwd%2Fdaily%2Fh_dwd_oper_delivery_adjust_user_di.sqlx?project=aidata2025) |
| [aidata2025.dwd.dwd_oper_delivery_collart_di](../tables/warehouse_metadata_gaps.md) | ods.ods_adjust_collart_1d,ods.ods_adjust_collart_android_1d | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdwd%2Fdaily%2Fh_dwd_oper_delivery_collart_di.sqlx?project=aidata2025) |
| [aidata2025.dwd.dwd_oper_sub_order_revenue_df](../tables/aidata2025.dwd.dwd_oper_sub_order_revenue_df.md) | pubdata2025.dwd.dwd_cdct_revenue_google_di,aidata2025.dwd.dwd_oper_user_order_event_di,pubdata2025.ods.ods_woolong_subscription_1d | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdwd%2Fdaily%2Fh_dwd_oper_sub_order_revenue_df.sqlx?project=aidata2025) |
| [aidata2025.dwd.dwd_oper_user_basic_di](../tables/aidata2025.dwd.dwd_oper_user_basic_di.md) | aidata2025.dwd.dwd_oper_user_event_di | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdwd%2Fdaily%2Fh_dwd_oper_user_basic_di.sqlx?project=aidata2025) |
| [aidata2025.dwd.dwd_oper_user_event_di](../tables/aidata2025.dwd.dwd_oper_user_event_di.md) | storytemplate-10a27.analytics_232977577.events_* | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdwd%2Fdaily%2Fh_dwd_oper_user_event_di.sqlx?project=aidata2025) |
| [aidata2025.dwd.dwd_oper_user_order_event_di](../tables/aidata2025.dwd.dwd_oper_user_order_event_di.md) | aidata2025.dwd.dwd_oper_user_event_di | [任务](https://console.cloud.google.com/bigquery?project=aidata2025&ws=!1m10!1m4!4m3!1saidata2025!2sdwd!3sdwd_oper_delivery_adjust_user_di!1m4!4m3!1saidata2025!2sdwd!3sdwd_oper_user_order_event_di) |
| [aidata2025.dwd.dwd_oper_user_properties_di](../tables/aidata2025.dwd.dwd_oper_user_properties_di.md) | storytemplate-10a27.analytics_232977577.events_* | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdwd%2Fdaily%2Fh_dwd_oper_user_properties_di.sqlx?project=aidata2025) |
| [aidata2025.dwd.dwd_oper_user_transaction_di](../tables/aidata2025.dwd.dwd_oper_user_transaction_di.md) | aidata2025.ods.ods_apple_transaction_1d | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdwd%2Fdaily%2Fh_dwd_oper_user_transaction_di.sqlx?project=aidata2025) |
| [aidata2025.dws.dws_id_convert_df](../tables/aidata2025.dws.dws_id_convert_df.md) | aidata2025.dwd.dwd_id_convert_di | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdws%2Fdaily%2Fh_dws_id_convert_df.sqlx?project=aidata2025) |
| [aidata2025.dws.dws_oper_asa_collart_1d](../tables/aidata2025.dws.dws_oper_asa_collart_1d.md) | pubdata2025.ods.ods_apple_campaigns_reports_1d | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdws%2Fdaily%2Fh_dws_oper_asa_collart_1d.sqlx?project=aidata2025) |
| [aidata2025.dws.dws_oper_asa_keyword_collart_1d](../tables/aidata2025.dws.dws_oper_asa_keyword_collart_1d.md) | pubdata2025.ods.ods_apple_keyword_reports_1d | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdws%2Fdaily%2Fh_dws_oper_asa_keyword_collart_1d.sqlx?project=aidata2025) |
| [aidata2025.dws.dws_oper_basic_aidata_1d](../tables/aidata2025.dws.dws_oper_basic_aidata_1d.md) | aidata2025.dwd.dwd_oper_user_basic_di | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdws%2Fdaily%2Fh_dws_oper_basic_aidata_1d.sqlx?project=aidata2025) |
| [aidata2025.dws.dws_oper_delivery_collart_1d](../tables/aidata2025.dws.dws_oper_delivery_collart_1d.md) | aidata2025.dwd.dwd_oper_delivery_collart_di | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdws%2Fdaily%2Fh_dws_oper_delivery_collart_1d.sqlx?project=aidata2025) |
| [aidata2025.dws.dws_oper_delivery_user_collart_1d](../tables/aidata2025.dws.dws_oper_delivery_user_collart_1d.md) | aidata2025.dwd.dwd_oper_delivery_collart_di | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdws%2Fdaily%2Fh_dws_oper_delivery_user_collart_1d.sqlx?project=aidata2025) |
| [aidata2025.dws.dws_oper_fb_delivery_1d](../tables/aidata2025.dws.dws_oper_fb_delivery_1d.md) | pubdata2025.dws.dws_cdct_cost_delivery_fb_1d | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdws%2Fdaily%2Fh_dws_oper_fb_delivery_1d.sqlx?project=aidata2025) |
| [aidata2025.dws.dws_oper_newuser_lifecycle_1d](../tables/warehouse_metadata_gaps.md) | aidata2025.dwd.dwd_oper_sub_order_revenue_df,aidata2025.dws.dws_oper_user_ad_di,aidata2025.dwd.dwd_cdct_delivery_cost_di | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdws%2Fdaily%2Fh_dws_oper_newuser_lifecycle_1d.sqlx?project=aidata2025) |
| [aidata2025.dws.dws_oper_tiktok_ad_1d](../tables/aidata2025.dws.dws_oper_tiktok_ad_1d.md) | aidata2025.ods.ods_tiktok_finance_1d aidata2025.dwd.dwd_tiktok_finance_1d | - |
| [aidata2025.dws.dws_oper_user_ad_di](../tables/aidata2025.dws.dws_oper_user_ad_di.md) | aidata2025.dwd.dwd_oper_user_event_di | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdws%2Fdaily%2Fh_dws_oper_user_ad_di.sqlx?project=aidata2025) |
| [aidata2025.dws.dws_oper_user_sub_revenue_df](../tables/aidata2025.dws.dws_oper_user_sub_revenue_df.md) | aidata2025.dwd.dwd_oper_sub_order_revenue_df | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fdws%2Fdaily%2Fh_dws_oper_user_sub_revenue_df.sqlx?project=aidata2025) |
| [pubdata2025.ads.ads_atlasv_basic_data_daily_1h](../tables/pubdata2025.ads.ads_atlasv_basic_data_daily_1h.md) | aidata2025.ads.ads_ad_sub_revenue_1h （ai组收入） downloaddata2025.ads.ads_ad_sub_revenue_1h（下载器收入） aidata2025.dws.dws_oper_basic_aidata_1d（ai组新增活跃） downloaddata2025.ads.ads_dau_retain_90_1d（下载器新增活跃） `hzdata.firebase.prefect_total_metrics_20*`（老产品新增活跃） pubdata2025.dws.dws_cdct_cost_google_1h（GA投放成本） aidata2025.dws.dws_oper_tiktok_ad_1d（TT投放成本） aidata2025.dws.dws_oper_fb_delivery_1d（FB投放成本） aidata2025.dws.dws_oper_asa_keyword_collart_1d（ASA投放成本） gzdw2024.gz_bi.dws_daily_app_reports（广州数据） pubdata2025.ads.ads_atlasv_basic_data_daily_2024（杭州2024数据） | 定时计划：pubdata2025.ads.ads_atlasv_basic_data_daily_1h |
| [pubdata2025.ads.ads_atlasv_basic_data_platform_daily_1h](../tables/pubdata2025.ads.ads_atlasv_basic_data_platform_daily_1h.md) | pubdata2025.dws.dws_cdct_cost_google_1h aidata2025.ads.ads_hangzhou_revenue_country_1d gzdw2024.gz_bi.dws_app_platform_daily_reports | 定时计划：ads_atlasv_basic_data_platform_daily_1h |
| [pubdata2025.ads.ads_atlasv_deliver_cost_daily](../tables/pubdata2025.ads.ads_atlasv_deliver_cost_daily.md) | aidata2025.dwd.dwd_cdct_delivery_cost_di | h_pubdata_…aily.sqlx – Code – Dataform – BigQuery – AIDATA – Google Cloud 控制台 |
| [pubdata2025.ads.ads_cdct_service_cost_1d](../tables/pubdata2025.ads.ads_cdct_service_cost_1d.md) | pubdata2025.ods.ods_billing_aws_cost_1d pubdata2025.ods.ods_billing_azure_cost_1d pubdata2025.ods.ods_billing_gcs_cost_1d pubdata2025.ods.ods_log_aws_cdn_1d pubdata2025.ods.ods_billing_third_cost_1d pubdata2025.dwd.dwd_cdct_cost_aws_billing_di pubdata2025.dwd.dwd_cdct_cost_azure_billing_di... pubdata2025.dwd.dwd_cdct_cost_gcp_billing_di pubdata2025.dwd.dwd_cdct_log_aws_cdn_di pubdata2025.dwd.dwd_cdct_cost_third_billing_di pubdata2025.dws.dws_cdct_cost_billing_1d pubdata2025.dws.dws_cdct_log_aws_cdn_1d pubdata2025.dws.dws_cdct_log_ai_record_1d hzdw2024.ods.ai_base_record_store pubdata2025.ads.ads_cdct_service_cost_1d aidata2025.dim.dim_ai_service_cost_unit | - |
| [pubdata2025.dwd.dwd_cdct_revenue_adplatform_di](../tables/pubdata2025.dwd.dwd_cdct_revenue_adplatform_di.md) | pubdata2025.ods.ods_ad_revenue_admob_1d pubdata2025.ods.ods_ad_revenue_applovin_1d pubdata2025.ods.ods_ad_revenue_appodeal_1d pubdata2025.ods.ods_ad_revenue_topon_1d pubdata2025.ods.ods_ad_tradplus_data_1d | dwd/revenue/h_dwd_cdct_revenue_adplatform_di.sqlx |
| [pubdata2025.dwd.dwd_cdct_revenue_google_di](../tables/pubdata2025.dwd.dwd_cdct_revenue_google_di.md) | pubdata2025.ods.ods_googleplay_sales_download2025_1d pubdata2025.ods.ods_googleplay_sales_downloader_1d pubdata2025.ods.ods_googleplay_sales_etm_1d pubdata2025.ods.ods_googleplay_sales_lifestyle_1d pubdata2025.ods.ods_googleplay_sales_new_downloader_1d | dwd/revenue/h_dwd_cdct_revenue_google_di.sqlx |
| [pubdata2025.dws.dws_cdct_cost_google_1h](../tables/pubdata2025.dws.dws_cdct_cost_google_1h.md) | pubdata2025.ods.ods_google_ads_campaign_1h | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/pubdata/workspaces/script/files/definitions%2Fdws%2Fcost%2Fh_dws_cdct_cost_google_1h.sqlx?project=pubdata2025) |
| [pubdata2025.dws.dws_cdct_log_ai_record_1d](../tables/warehouse_metadata_gaps.md) | hzdw2024.ods.ods_ai_record_info | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/pubdata/workspaces/script/files/definitions%2Fdws%2Flog%2Fh_dws_cdct_log_ai_record_1d.sqlx?project=pubdata2025) |
| [pubdata2025.dws.dws_cdct_revenue_country_1d](../tables/pubdata2025.dws.dws_cdct_revenue_country_1d.md) | pubdata2025.dwd.dwd_cdct_revenue_adplatform_di | dws/revenue/h_dws_cdct_revenue_country_1d.sqlx |
